"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_author","comment_status","sku","downloadable","virtual","stock","regular_price","sale_price","weight","length","width","height","tax_class","visibility","stock_status","backorders","manage_stock","tax_status","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","sold_individually","low_stock_amount","purchase_note","product_page_url","images","downloadable_files","tax:product_type","tax:product_visibility","tax:product_cat","tax:product_tag","tax:product_shipping_class","attribute:Age","attribute_data:Age","attribute_default:Age","attribute:BarCode","attribute_data:BarCode","attribute_default:BarCode","attribute:Brand","attribute_data:Brand","attribute_default:Brand","attribute:pa_barcode","attribute_data:pa_barcode","attribute_default:pa_barcode"
"Spinjitzu Slam - Zane","spinjitzu-slam-zane","8240","Spinjitzu Slam - Zane","Children can spin up a storm and take on ninja challenges with the LEGO® NINJAGO® 70683 Spinjitzu Slam - Zane spinning top toy. This fun-packed playset features a Zane Tornado Spinner which holds a minifigure and fits onto the easy-to-build spinner launcher, plus a buildable training dummy to use as a target and 2 shurikens that can also be sent spinning by the launcher. Great for solo or social play, kids will love recreating the ninja tornado effect as seen on the NINJAGO TV show and making up their own Spinjitzu Slam competitions with friends. This LEGO NINJAGO spinner toy includes a collectible, new-for-June-2019 Zane FS minifigure with a ‘powered-up’ hood element for creative role-play.                                                                                                                                                                                                                                                                                                             Includes a new-for-June-2019 Zane FS minifigure with a ‘powered-up’ hood element.
 This LEGO® NINJAGO® spinner toy features a brick-built launcher and new-for-June-2019 Zane Tornado Spinner, plus 2 launchable shurikens and a buildable training dummy.
 Place the minifigure in his tornado spinner, attach it to the launcher and slam down on the launcher to send the minifigure spiraling towards the target.
 Attach a shuriken to the launcher and slam to make it spin towards the target.
 Kids can create their own Spinjitzu Slam challenges and compete against their friends with this toy building set.
 Add 70681 Spinjitzu Slam - Lloyd, 70682 Spinjitzu Slam - Jay and 70684 Spinjitzu Slam - Kai vs. Samurai LEGO® NINJAGO® spinning top toys for thrilling Spinjitzu Slam showdowns.
 Children can recreate the ninja tornado effect as seen on the NINJAGO® TV show with this action-packed LEGO® playset.
 This LEGO® set makes a great birthday or holiday gift for NINJAGO® fans.
 Tornado spinner launcher with tornado spinner toy attached measures over 1 (5cm) high, 1 (3cm) wide and 3 (8cm) deep.Building Instructions","publish","0","2020-02-12 06:36:48","1","open","70683","no","no","48","1900","","","","","","","visible","instock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/spinjitzu-slam-zane/","https://www.toysdirect.co.ke/wp-content/uploads/products/70683/70683_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/70683/70683_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/70683/70683_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/70683/70683_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/70683/70683_alt5.jpg","","simple","exclude-from-catalog|exclude-from-search|outofstock","Age > 5 Years +|LEGO characters > LEGO Ninjago","buildable training dummies|june-2019 zane f|launcher|Lego|ninja tornado effects|Ninjago|spinjitzu slam|Super Heroes|up’ hood elements|zane f minifigure|zane tornado spinner","","5+","2|1|0","","5702016469028","1|1|0","","Spinjitzu Slam - Zane","0|1|0","","","",""
"Conf-2019-LSC6","conf-2019-lsc6","8241","Conf-2019-LSC6","Porsche fans will love to build, race and proudly display the LEGO® Speed Champions 75895 1974 Porsche 911 Turbo 3.0. This white, collectible toy car model for kids of one of the world’s most recognizable classic sports cars features a minifigure cockpit with a removable windshield and is packed with authentic details, including the iconic ‘whale tail rear spoiler. A classic Porsche 911 driver minifigure and 3 cones to play out race scenarios are also included in this LEGO car set. Fans can add an exciting digital dimension to their racing play and ‘drive’ this car in the Forza Horizon 4 LEGO Speed Champions expansion pack (sold separately).                                                                                                                                                                                                                                                                                                                                                               This model car kit includes a new-for-August-2019 classic Porsche 911 driver minifigure.
 The white, buildable 1974 Porsche 911 Turbo 3.0 toy car for kids features a minifigure cockpit with removable windshield, wheels with rubber racing tires and authentic design details such as the 911 Turbos iconic ‘whale tail rear spoiler.
 Remove the windshield to place the minifigure in the car.
 Accessory elements include the Porsche 911 drivers helmet, plus 3 cones for racing play action.
 Kids can add an exciting digital dimension to their racing play and ‘drive’ this car in the Forza Horizon 4 LEGO® Speed Champions expansion pack (sold separately).
 This cool toy model car for kids makes a great birthday gift.
 1974 Porsche 911 Turbo 3.0 measures over 1 (4cm) high, 5 (15cm) long and 2 (6cm) wide.Building Instructions","publish","0","2020-02-12 06:37:09","1","open","75895","no","no","0","2900","","","","","","","visible","outofstock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/conf-2019-lsc6/","https://www.toysdirect.co.ke/wp-content/uploads/products/75895/75895_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75895/75895_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75895/75895_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75895/75895_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75895/75895_alt5.jpg","","simple","","Age > 5 Years +|LEGO characters > LEGO Speed Champions","champion expansion pack|classic porsche|driver minifigure|exciting digital dimensions|kids|Lego|minifigure cockpit|porsche|speed champion expansion|Super Heroes|turbo|whale tail","","5+","2|1|0","","5702016595468","1|1|0","","Conf-2019-LSC6","0|1|0","","","",""
"Expecto Patronum","expecto-patronum","8242","Expecto Patronum","Transport fans of Harry Potter™ aged 7 and over to a magical world of wizards, Dementors™ and mythical creatures with this LEGO® Harry Potter 75945 Expecto Patronum building set. Kids will love the details in the Great Lake Forbidden Forest scene, firing the Expecto Patronum spell at the 2 Dementor minifigures, and summoning Harrys Patronus charm—a new-for-June-2019 stag figure—to ward them off his godfather, Sirius Black™. With 4 minifigures and endless magical possibilities, this Harry Potter LEGO set will conjure up a magical world of imaginative play.                                                                                                                                                                                                                                                                                                                                                                                                                                                       Includes 4 LEGO® Harry Potter™ minifigures: new-for-June-2019 Harry Potter, new-for-June-2019 Sirius Black™ and 2 Dementors™.
 This LEGO® Harry Potter™ set features a forest scene with a small lakeside build and 2 buildable trees with a spell-cast shooting function, plus a new-for-June-2019 semi-transparent glittering stag figure with room for a minifigure on top.
 Also includes Harrys wand to cast the Expecto Patronum spell, as used in the Harry Potter™ and the Prisoner of Azkaban™ movie.
 Larger tree measures over 5 (13cm) high, 3 (8cm) wide and 1 (4cm) deep.
 Stag figure stands over 2 (7cm) tall.Building Instructions","publish","0","2020-02-12 06:37:09","1","open","75945","no","no","0","4100","","","","","","","visible","outofstock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/expecto-patronum/","https://www.toysdirect.co.ke/wp-content/uploads/products/75945/75945_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75945/75945_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75945/75945_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75945/75945_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75945/75945_alt5.jpg","","simple","exclude-from-catalog|exclude-from-search|outofstock","Age > 5 Years +|LEGO characters > LEGO Harry Potter TM","expecto patronum spell|harry potter|june-2019 harry potter|larger tree measures|Lego|magical world|prisoners of azkaban|stag figure|Super Heroes|world of wizard","","5+","2|1|0","","5702016368468","1|1|0","","Expecto Patronum","0|1|0","","","",""
"Hungarian Horntail Triwizard Challenge","hungarian-horntail-triwizard-challenge","8243","Hungarian Horntail Triwizard Challenge","Give your young Harry Potter™ fan the chance to battle one of the most dangerous dragons in the wizarding world. The LEGO® Harry Potter 75946 Hungarian Horntail Triwizard Challenge is a gift for kids filled with magical adventures. Anyone aged 8 and over will love helping Harry compete against rival students from other schools of magic, as they strive to retrieve the mysterious golden egg. But thats not all. Theres a Hungarian Horntail dragon to defeat! With its moveable limbs and wings, itll take quick-thinking wizardry to outmaneuver this ferocious beast. With 4 minifigures included, this Harry Potter LEGO dragon set will inspire endless imaginative adventures.                                                                                                                                                                                                                                                                                                                                       Includes 4 new-for-June-2019 LEGO® Harry Potter™ minifigures: Harry Potter, Fleur Delacour, Cedric Diggory and Viktor Krum, each with their own wand.
 This hot Harry Potter™ toy features a posable Hungarian Horntail dragon with flames in its mouth and movable limbs and wings, plus a buildable opening tent for the champions to wait their turn in the Triwizard Tournament, as seen in the Harry Potter and the Goblet of Fire™ movie. All characters have wands, and inside the tent is a bed, 2 cups, a small shelf and potion bottle.
 Also includes Harry’s Firebolt racing broomstick, a rocky environment containing the golden egg, and a chain to attach the dragon.
 Hungarian Horntail with wings open measures over 2 (7cm) high, 10 (27cm) long and 13 (34cm) wide.
 The tent (closed) measures over 2 (7cm) high, 8 (10cm) wide and 2 (7cm) deep.
 The tent (opened) measures over 2 (7cm) high, 5 (14cm) wide and 1 (5cm) deep.Building Instructions","publish","0","2020-02-12 06:37:10","1","open","75946","no","no","0","7000","","","","","","","visible","outofstock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/hungarian-horntail-triwizard-challenge/","https://www.toysdirect.co.ke/wp-content/uploads/products/75946/75946_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75946/75946_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75946/75946_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75946/75946_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75946/75946_alt5.jpg","","simple","exclude-from-catalog|exclude-from-search|outofstock","Age > 5 Years +|LEGO characters > LEGO Harry Potter TM","endless imaginative adventure|goblet of fire|harry potter|harry potter young harry potter|horntail triwizard challenge|hungarian horntail dragon|Lego|posable hungarian horntail|potter dragon|Super Heroes","","5+","2|1|0","","5702016368673","1|1|0","","Hungarian Horntail Triwizard Challenge","0|1|0","","","",""
"Hagrids Hut: Buckbeaks Rescue","hagrids-hut-buckbeaks-rescue","8244","Hagrids Hut: Buckbeaks Rescue","Young witches and wizards can recreate magical scenes from Harry Potter™ and the Prisoner of Azkaban™ with the LEGO® Harry Potter 75947 Hagrid’s Hut: Buckbeak’s Rescue playset. This cool toy for kids gives Harry Potter fans aged 8 and over endless opportunities for imaginative role-play. They can explore the detailed interior of Hagrids hut, hide behind Hagrids pumpkin patch when the Minister of Magic and the Executioner arrive, then rescue Buckbeak™ the Hippogriff from the Executioners axe. The magical adventures will never end with this Harry Potter LEGO set. Includes 6 minifigures, a buildable Buckbeak figure with moveable wings and head and a host of accessories and features including a button-operated light brick for the fireplace.                                                                                                                                                                                                                                                            Includes 6 LEGO® Harry Potter™ minifigures: Hagrid™ and new-for-June-2019 Harry Potter, Ron Weasley™, Hermione Granger™, Executioner and the Minister of Magic plus a Buckbeak™ the Hippogriff figure with moveable wings and head, restrained by a removable chain.
 This LEGO® Harry Potter™ set features Hagrids 2-section buildable woodland hut with pumpkin patch outside.
 LEGO® Hagrid´s Huts desk room includes a desk with chair, candle, chest, chocolate frog, Daily Prophet newspaper and a spider.
 LEGO® Hagrid´s Hut’s main room includes a table with 2 chairs, buildable armchair, chimney with light brick, egg in a bowl, bag, display case, Hagrid’s pink umbrella, shovel, teapot, spoon, pan, meat cleaver, lasso, broom and a bucket.
 Also includes pumpkins, lantern, axe, 3 wands, the Minister of Magics hat and a removable chain for Buckbeak™.
 LEGO® Hagrid´s Hut measures over 6 (16cm) high, 9 (23cm) wide and 4 (12cm) deep.
 Buckbeak™ figure with wings open measures over 1 (5cm) high, 2 (7cm) long and 4 (12cm) wide.Building Instructions","publish","0","2020-02-12 06:37:10","1","open","75947","no","no","0","12600","","","","","","","visible","outofstock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/hagrids-hut-buckbeaks-rescue/","https://www.toysdirect.co.ke/wp-content/uploads/products/75947/75947_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75947/75947_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75947/75947_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75947/75947_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75947/75947_alt5.jpg","","simple","","Age > 5 Years +|LEGO characters > LEGO Harry Potter TM","buckbeak|hagrid´s hut|harry potter|june-2019 harry potter|Lego|minister of magic|moveable wing|pumpkin patch|removable chain","","5+","2|1|0","","5702016368680","1|1|0","","Hagrids Hut: Buckbeaks Rescue","0|1|0","","","",""
"Hogwarts™ Clock Tower","hogwarts-clock-tower","8245","Hogwarts™ Clock Tower","Transport fans of Harry Potter™ aged 9 and over to a magical world inside the LEGO® Harry Potter 75948 Hogwarts™ Clock Tower set. With 8 minifigures and iconic locations from Harry Potter and the Prisoner of Azkaban™ and Harry Potter and the Goblet of Fire™, kids will be immersed in a world of imaginative play. Whether visiting Dumbledores office or attending a Defense Against the Dark Arts lesson, traveling through time by resetting the tower clock or unwinding at the Yule Ball by operating the ‘dance’ function… once they enter the Hogwarts Clock Tower, they’ll never want to leave!                                                                                                                                                                                                                                                                                                                                                                                                                           Includes 8 new-for-June-2019 Harry Potter™ minifigures: Harry Potter, Ron Weasley™, Hermione Granger™, Fleur Delacour, Cedric Diggory, Viktor Krum, Albus Dumbledore™ and Madame Maxime.
 All figures come with wands and their Yule Ball costumes.
 This LEGO® Harry Potter™ toy playset features the 3-level Hogwarts™ Clock Tower, Entrance Hall, Defense Against the Dark Arts classroom, Hospital Wing, Prefects Bathroom, Dumbledores Office and a section of icy decorations for the Yule Ball.
 Features a clock-changing mechanism for kids to create Time-Turner time travel adventures, and a ‘dance’ function to get the Yule Ball really moving!
 The Entrance Hall includes a chest and the Goblet of Fire.
 The Defense Against the Dark Arts classroom includes a table, chair, potions, glass case, book, desk with inkpot with a quill, buildable lamp and a blackboard.
 The Hospital Wing includes 2 beds and 2 buildable lamps.
 The Prefects Bathroom features a mermaid stained-glass window.
 Dumbledore’s Office includes a chair and desk with inkpot and quill, the Pensieve and the sword of Gryffindor.
 The Yule Ball scene includes 2 icy tables with 2 glasses, buildable icy sculpture and a Christmas Tree.
 Hogwarts™ Clock Tower measures over 13 (35cm) high, 13 (34cm) wide and 7 (18cm) deep.Building Instructions","publish","0","2020-02-12 06:37:10","1","open","75948","no","no","2","18900","17230","","","","","","visible","instock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/hogwarts-clock-tower/","https://www.toysdirect.co.ke/wp-content/uploads/products/75948/75948_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75948/75948_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75948/75948_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75948/75948_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75948/75948_alt5.jpg","","simple","","Age > 5 Years +|LEGO characters > LEGO Harry Potter TM","buildable lamp|clock tower|dance’ function|dark art classroom|entrance hall|goblet of fire|harry potter|hospital wing|Lego|office|yule ball","","5+","2|1|0","","5702016368697","1|1|0","","Hogwarts™ Clock Tower","0|1|0","","","",""
"Quidditch™ Match","quidditch-match","8246","Quidditch™ Match","Play the most exhilarating wizarding sport with this 75956 Quidditch™ Match LEGO® Harry Potter™ play set. Join Harry, Hermione and Professor Snape™ at the games, featuring Gryffindor™, Slytherin™, Ravenclaw™ and Hufflepuff™ house towers with viewing stands and play feature functions, plus a base with Bludger stud shooter and 3 goalposts with a moving Keeper function to guard the rings. Use the brooms mounted shooting function to shoot the Quaffle through the rings and recreate the famous Quidditch games from the blockbuster Harry Potter movies, or make up your own fun challenges with this fun-packed LEGO Harry Potter toy.                                                                                                                                                                                                                                                                                                                                                                                   Includes 6 minifigures: Harry Potter™, Hermione Granger™, Severus Snape™, Oliver Wood, Lucian Bole and Marcus Flint.
 Features Gryffindor™ house tower with an opening hatch, Slytherin™ house tower with a pop-up fire spell function, Ravenclaw™ house tower with a removable megaphone element, Hufflepuff™ house tower with scoreboard, and a base with 3 goalposts and rings, moving Keeper function and Bludger stud shooter.
 Unpack the Quaffle, Golden Snitch™, Bludgers and bat, and prepare to play!
 Use the Gryffindor™ house tower’s opening hatch to enter a player onto the Quidditch™ pitch.
 Throw the Quaffle in the air to signal the start of the Quidditch™ match, then shoot the Bludger to knock the players off their brooms.
 Fire the brooms mounted shooter to launch the Quaffle through a ring!
 Move the goalpost function to position the keeper in front of the rings.
 Help Hermione cast a spell on Professor Snape™ using the pop-up fire function on the Slytherin™ house tower.
 Use the megaphone and shout support for your team from the Ravenclaw™ house tower.
 Keep score with the Hufflepuff™ house tower’s scoreboard.
 Accessory elements include a chest, 2 wands, 4 brooms, Quaffle, Golden Snitch™, bat, 2 Bludgers, trophy, megaphone and scoreboard.
 Each tower measures over 7 (18cm) high, 1 (4cm) wide and 1 (4cm) deep.Building Instructions","publish","0","2020-02-12 06:37:10","1","open","75956","no","no","3","9000","8220","","","","","","visible","instock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/quidditch-match/","https://www.toysdirect.co.ke/wp-content/uploads/products/75956/75956_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75956/75956_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75956/75956_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75956/75956_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75956/75956_alt5.jpg","","simple","exclude-from-catalog|exclude-from-search","Age > 5 Years +|LEGO characters > LEGO Harry Potter TM","broom|golden snitch|harry potter toys|house tower|keeper function|Lego|opening hatch|professor snape|quaffle|ring","","5+","2|1|0","","5702016160277","1|1|0","","Quidditch™ Match","0|1|0","","","",""
"The Knight Bus™","the-knight-bus","8247","The Knight Bus™","Give your young witch or wizard the ride of their life aboard the LEGO® Harry Potter™ 75957 Knight Bus™! When kids catch the purple triple-decker bus, they know they’re in for a wild ride. With a hinged side panel for easy access to the interior, and a removable roof to reveal the upper deck, this magical toy bus playset is bursting with play potential. Once Harrys trunk has been loaded, its time to hold tight. As the vehicle races away, swerving around corners and bouncing over bumps, kids will love how the bed slides back and forth and the chandelier swings from the ceiling. Includes 3 minifigures.                                                                                                                                                                                                                                                                                                                                                                                                        Includes 3 new-for-June-2019 LEGO® Harry Potter™ minifigures: Harry Potter, Stan Shunpike and Ernie Prang.
 This 3-level LEGO® bus features an opening hinged side panel and a removable roof to maximize play potential.
 Also includes a sliding bed and swinging chandelier that move as the bus swerves and turns.
 The cheeky Shrunken Head and Harry Potters chest containing a wand, letter, chocolate bar and a potion bottle add to the action and inspire imaginative play.
 The Knight Bus™ measures over 6 (16cm) high, 6 (16cm) long and 2 (6cm) wide.Building Instructions","publish","0","2020-02-12 06:37:10","1","open","75957","no","no","8","8700","7930","","","","","","visible","instock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/the-knight-bus/","https://www.toysdirect.co.ke/wp-content/uploads/products/75957/75957_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75957/75957_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75957/75957_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75957/75957_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75957/75957_alt5.jpg","","simple","exclude-from-catalog|exclude-from-search","Age > 5 Years +|LEGO characters > LEGO Harry Potter TM","cheeky shrunken head|easy access|harry potter|hinged side panel|knight bus|Lego|potion bottle|removable roof|toys bus playset|wild ride","","5+","2|1|0","","5702016542714","1|1|0","","The Knight Bus™","0|1|0","","","",""
"Conf-WW-6","conf-ww-6","8248","Conf-WW-6","Imaginations will take flight with the LEGO® Harry Potter™ 75958 Beauxbatons’ Carriage: Arrival at Hogwarts™ building kit. Young witches and wizards will relive the thrilling scene from Harry Potter and the Goblet of Fire™ where the magnificent flying carriage makes its hair-raising journey to Hogwarts, with Hagrid™ waiting to guide it safely in to land. Once on the ground, the carriage rebuilds into a 2-floor bedroom and tea-drinking area—the perfect place to plan new adventures with Madame Maxime, Fleur Delacour and Gabrielle Delacour. With 4 minifigures and 2 flying horses with moveable wings, legs and heads, the Beauxbatons’ carriage will transport any Harry Potter fan to a magical world of imaginative play.                                                                                                                                                                                                                                                                                        This LEGO® Harry Potter™ toy includes 4 minifigures: Hagrid™, Madame Maxime, Fleur Delacour and Gabrielle Delacour.
 The buildable toy carriage has an opening door to enable access to the interior.
 On land, the ornate flying carriage rebuilds as a 2-floor living space, with 2 banquettes and a buildable table on the first floor and 2 beds and a shelf with 2 drawers on the second floor.
 2 winged horses (called Abraxans) have poseable heads, legs and wings.
 Hagrid™ wears his Yule Ball costume, Fleur Delacour and Gabrielle Delacour each wear their student uniform and have a wand.
 Accessory elements include a chest, 4 lanterns (attached to the carriage), a letter, 4 tea cups and a teapot, a bottle to feed the horses and 2 paddles used by Hagrid™ to guide the carriage in to land.
 Toy carriage with horses measures over 5 (13cm) high, 11 (30cm) long and 8 (21cm) wide.
 Toy carriage without horses measures over 5 (13cm) high, 7 (18cm) long and 3 (8cm) wide.
 Toy carriage rebuilt as 2-floor accommodation measures over 7 (20cm) high.Building Instructions","publish","0","2020-02-12 06:37:11","1","open","75958","no","no","2","10900","9920","","","","","","visible","instock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/conf-ww-6/","https://www.toysdirect.co.ke/wp-content/uploads/products/75958/75958_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75958/75958_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75958/75958_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75958/75958_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/75958/75958_alt5.jpg","","simple","exclude-from-catalog|exclude-from-search","Age > 5 Years +|LEGO characters > LEGO Harry Potter TM","beauxbatons’ carriage|carriage|fleur delacour|gabrielle delacour|hagrid|harry potter|horse measures|Lego|madame maxime|toys carriage","","5+","2|1|0","","5702016604122","1|1|0","","Conf-WW-6","0|1|0","","","",""
"Batcave Clayface™ Invasion","batcave-clayface-invasion","8249","Batcave Clayface™ Invasion","Inspire kids to create their own thrilling stories with this 1,037-piece LEGO® DC Batman™ 76122 Batcave Clayface™ Invasion construction toy. The Batcave is packed with play-starting features and functions including a Batcomputer zone, detachable transformation tower with a function to ‘transform’ Bruce Wayne™ into Batman and a detachable jail building with an explode function to play out a prison break. This super-hero toy playset also includes the Bat-Tank™ with a rotating turret with 4 flick missiles, plus a stud shooter and hook shooter, each of which can be detached and used as minifigure weapons. Children can also get creative by using the included Action Pack elements and Bat Family Pack elements to customize builds, minifigures and weapons. And with 6 minifigures and a posable, big build Clayface, this cool kids’ toy makes a great super-hero gift for Batman fans. This LEGO® Batman™ toy playset includes 6 minifigures: Batman, Bruce Wayne™, Robin™, Batwoman™, Catwoman™ and Two-Face™, plus a posable, Clayface™ big figure with snapping jaws and gripping hands that can hold a minifigure.
 This set features the LEGO® Batcave toy with Batcomputer zone, hi-tech zone, workout zone, weapons room, trophy room and detachable transformation tower and jail modules, plus a Bat-Tank™.
 The Batcave’s Batcomputer zone features a desk, rotating minifigure chair and 5 computer screen elements with computer graphics stickers.
 Hi-tech zone features a buildable backpack for the Batman™ minifigure with detachable building tools.
 Trophy room has 3 podiums to display 3 iconic artifacts from the Batman™ universe—dinosaur statue, giant penny and The Joker™ card elements.
 Transformation tower features a function to ‘transform’ Bruce Wayne™ into Batman™—place the Bruce Wayne minifigure on top next to the telephone element, the Batman™ minifigure inside, then pull the pin on the back to make Bruce disappear and Batman appear at the base of the tower.
 Jail features an explode function to blow out the prison bars, plus a rooftop parking spot for the Batwing included in the 76120 Batman™ Batwing and The Riddler™ Heist playset.
 Bat-Tank™ features an opening minifigure cockpit, rotating turret with 4 flick missiles, plus a detachable stud shooter and hook shooter.
 This Batman™ toy playset includes Batman’s Batarang, Batwoman’s Batarang, Catwoman’s whip and Two-Face’s dynamite and non-shooting gun. 
 Accessory elements include 10 assorted Action Pack elements and 10 assorted Bat Family Pack elements to customize builds, minifigures and weapons.
 Batman™, Bruce Wayne™, Robin™, Catwoman™ and Two-Face™ minifigures are new for June 2019.
 This set includes over 1,037 pieces.
 This cool kids’ toy makes the best birthday gift for Batman™ fans.
 LEGO® Batcave toy including detachable prison and transformation tower modules measures over 8 (22cm) high, 16 (43cm) wide and 3 (9cm) deep.
 Bat-Tank™ measures over 3 (8cm) high, 3 (8cm) long and 2 (7cm) wide.
 Clayface™ stands over 4 (12cm) tall.Building Instructions","publish","0","2020-02-12 06:37:11","1","open","76122","no","no","0","0","","","","","","","visible","outofstock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/batcave-clayface-invasion/","https://www.toysdirect.co.ke/wp-content/uploads/products/76122/76122_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/76122/76122_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/76122/76122_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/76122/76122_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/76122/76122_alt5.jpg","","simple","exclude-from-catalog|exclude-from-search|outofstock","Age > 5 Years +|LEGO characters > LEGO Super Heroes","action pack elements|bat family pack|batcomputer zone|batman|cool kids’ toys|detachable transformation tower|flick missile|Lego|tech zone|transform’ bruce wayne|trophy room","","5+","2|1|0","","5702016369045","1|1|0","","Batcave Clayface™ Invasion","0|1|0","","","",""
"Captain America: Outriders Attack","captain-america-outriders-attack","8250","Captain America: Outriders Attack","Power into battle against the Outriders with Captain America’s cool bike in LEGO® Marvel Avengers 76123 Captain America: Outriders Attack. The buildable motorcycle toy features a minifigure cockpit, 2 Captain America shield shooters, 2 detachable non-shooting blasters, attachment points for minifigures and a fold-down bike stand. This building set for kids has 4 Marvel characters—including a Captain America minifigure with a new-for-March-2019 helmet element and Avengers team suit decoration—to recreate exciting scenes from the Marvel Avengers movies.                                                                                                                                                                                                                                                                                                                                                                                                                                                            This Captain America playset includes 4 Marvel Universe minifigures: Captain America and 3 Outriders.
 Captain America’s bike features a minifigure cockpit, 2 Captain America shield shooters, front wheel with detachable non-shooting blasters, attachment points for minifigures, fold-down bike stand, headlight element and an exhaust flame element.
 Detach the blasters and put them in Captain Americas hands ready for battle and imaginative play.
 This superhero playset includes Captain America’s new-for-March-2019 helmet element and Avengers team suit decoration.
 Recreate thrilling action from the Marvel Avengers movies with this awesome LEGO® construction toy.
 Captain America’s vehicle measures over 2 (7cm) high, 8 (21cm) long and 2 (7cm) wide.Building Instructions","publish","0","2020-02-12 06:37:11","1","open","76123","no","no","15","5600","5150","","","","","","visible","instock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/captain-america-outriders-attack/","https://www.toysdirect.co.ke/wp-content/uploads/products/76123/76123_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/76123/76123_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/76123/76123_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/76123/76123_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/76123/76123_alt5.jpg","","simple","","Age > 5 Years +|LEGO characters > LEGO Super Heroes","america shield shooter|attachment point|avenger team suit|bike stand|captain america|captain america shield|Lego|march-2019 helmet elements|marvel avenger movies|minifigure cockpit|team suit decoration","","5+","2|1|0","","5702016369052","1|1|0","","Captain America: Outriders Attack","0|1|0","","","",""
